[ID: 0038710624]
Gen	LnL	LnPr	TL{all}	r(A<->C){1}	r(A<->G){1}	r(A<->T){1}	r(C<->G){1}	r(C<->T){1}	r(G<->T){1}	r(A<->C){2}	r(A<->G){2}	r(A<->T){2}	r(C<->G){2}	r(C<->T){2}	r(G<->T){2}	r(A<->C){3}	r(A<->G){3}	r(A<->T){3}	r(C<->G){3}	r(C<->T){3}	r(G<->T){3}	pi(A){1}	pi(C){1}	pi(G){1}	pi(T){1}	pi(A){2}	pi(C){2}	pi(G){2}	pi(T){2}	pi(A){3}	pi(C){3}	pi(G){3}	pi(T){3}	alpha{1}	alpha{2}	alpha{3}	pinvar{1}	pinvar{2}	pinvar{3}	m{1}	m{2}	m{3}
0	-6.516786e+04	1.474263e+02	2.860000e+00	1.666667e-01	1.666667e-01	1.666667e-01	1.666667e-01	1.666667e-01	1.666667e-01	1.666667e-01	1.666667e-01	1.666667e-01	1.666667e-01	1.666667e-01	1.666667e-01	1.666667e-01	1.666667e-01	1.666667e-01	1.666667e-01	1.666667e-01	1.666667e-01	2.500000e-01	2.500000e-01	2.500000e-01	2.500000e-01	2.500000e-01	2.500000e-01	2.500000e-01	2.500000e-01	2.500000e-01	2.500000e-01	2.500000e-01	2.500000e-01	1.000000e+00	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
1000	-5.283319e+04	7.047666e+01	4.975536e+00	1.198353e-01	2.462890e-01	1.519815e-01	1.579177e-01	1.543712e-01	1.696052e-01	1.753398e-01	2.224813e-01	1.454666e-01	1.471349e-01	1.771477e-01	1.324298e-01	2.143723e-01	2.484157e-01	1.295912e-01	1.027566e-01	2.029399e-01	1.019242e-01	2.488896e-01	2.361882e-01	1.769785e-01	3.379437e-01	2.572515e-01	2.394405e-01	2.289316e-01	2.743763e-01	2.008222e-01	2.496379e-01	2.624139e-01	2.871260e-01	3.686983e-01	3.640068e-01	3.783198e-01	1.776504e-01	1.872200e-01	2.406454e-01	8.733199e-01	1.031510e+00	1.126554e+00
2000	-4.869885e+04	1.081109e+02	3.808978e+00	9.127000e-02	2.722608e-01	1.513578e-01	1.429954e-01	1.801905e-01	1.619255e-01	1.811494e-01	2.783464e-01	7.246034e-02	1.414586e-01	1.904719e-01	1.361133e-01	1.903713e-01	2.887819e-01	1.464572e-01	6.952774e-02	2.148149e-01	9.004686e-02	2.238513e-01	2.752260e-01	1.912313e-01	3.096914e-01	2.572515e-01	2.488432e-01	2.195290e-01	2.743763e-01	1.813694e-01	2.469034e-01	2.550736e-01	3.166536e-01	2.831479e-01	6.920762e-01	5.567190e-01	3.204754e-01	4.606403e-01	4.432294e-01	8.185516e-01	1.086971e+00	1.137399e+00
3000	-4.645762e+04	1.206121e+02	3.478592e+00	1.066225e-01	2.679283e-01	1.323579e-01	9.847004e-02	2.346318e-01	1.599894e-01	1.444828e-01	3.146260e-01	5.411199e-02	1.771818e-01	2.164560e-01	9.314129e-02	2.040318e-01	2.672992e-01	8.394949e-02	5.785498e-02	3.229231e-01	6.394138e-02	2.470824e-01	2.660942e-01	1.771319e-01	3.096914e-01	2.433153e-01	2.193030e-01	2.202555e-01	3.171263e-01	2.017513e-01	2.159630e-01	2.751811e-01	3.071046e-01	3.994313e-01	9.329194e-01	6.154985e-01	4.824015e-01	5.050679e-01	4.525134e-01	7.157250e-01	1.035199e+00	1.321226e+00
4000	-4.532277e+04	1.197286e+02	3.501411e+00	7.227744e-02	2.367909e-01	1.495933e-01	8.346030e-02	3.098896e-01	1.479885e-01	1.240734e-01	3.796816e-01	3.930872e-02	9.066097e-02	3.043457e-01	6.192967e-02	1.436097e-01	3.185858e-01	4.842283e-02	5.725671e-02	3.609591e-01	7.116586e-02	2.331158e-01	2.586065e-01	2.395736e-01	2.687041e-01	2.647061e-01	2.221743e-01	2.084606e-01	3.046590e-01	2.287729e-01	2.149999e-01	2.406848e-01	3.155424e-01	4.372977e-01	7.901292e-01	6.732048e-01	5.342591e-01	4.946359e-01	5.181351e-01	6.584869e-01	1.092423e+00	1.333335e+00
5000	-4.470256e+04	1.070688e+02	3.823475e+00	7.136969e-02	2.183898e-01	1.397549e-01	5.866463e-02	4.317345e-01	8.008643e-02	1.149329e-01	3.238643e-01	1.723627e-02	7.632483e-02	3.889784e-01	7.866325e-02	1.299206e-01	2.789552e-01	4.762083e-02	7.608748e-02	3.960626e-01	7.135330e-02	2.512136e-01	2.272479e-01	2.395736e-01	2.819649e-01	3.042935e-01	1.878245e-01	2.252901e-01	2.825919e-01	2.410419e-01	1.975203e-01	2.455499e-01	3.158879e-01	4.096031e-01	9.671091e-01	6.564243e-01	5.308784e-01	5.105104e-01	4.754361e-01	6.986278e-01	1.087566e+00	1.287857e+00
6000	-4.453346e+04	1.088597e+02	3.773092e+00	7.504283e-02	2.480546e-01	1.100892e-01	4.784091e-02	4.371287e-01	8.184377e-02	1.170676e-01	3.160786e-01	1.786746e-02	6.657587e-02	4.037248e-01	7.868559e-02	1.289642e-01	2.700099e-01	4.676363e-02	7.608748e-02	3.960626e-01	8.211225e-02	2.604957e-01	2.148140e-01	2.776431e-01	2.470472e-01	2.957823e-01	1.897423e-01	2.157243e-01	2.987511e-01	2.638338e-01	2.039103e-01	2.186254e-01	3.136305e-01	4.280714e-01	1.073913e+00	6.288615e-01	5.303133e-01	4.956687e-01	4.852064e-01	6.362218e-01	1.118179e+00	1.334378e+00
7000	-4.426948e+04	1.096213e+02	3.751538e+00	9.648826e-02	2.405354e-01	1.717677e-01	4.396375e-02	3.698761e-01	7.736879e-02	1.062624e-01	3.350379e-01	2.138674e-02	6.721688e-02	3.914179e-01	7.867820e-02	1.302935e-01	3.121032e-01	4.863298e-02	1.014449e-01	3.327649e-01	7.476046e-02	2.127058e-01	2.196739e-01	2.882614e-01	2.793588e-01	3.323456e-01	2.081493e-01	1.891826e-01	2.703225e-01	2.423063e-01	2.043848e-01	2.188293e-01	3.344796e-01	4.568263e-01	1.039894e+00	6.882470e-01	5.521739e-01	5.111554e-01	5.091055e-01	6.196991e-01	1.146446e+00	1.325554e+00
8000	-4.411444e+04	9.812380e+01	4.062843e+00	7.178666e-02	2.337511e-01	1.464198e-01	4.837945e-02	4.251413e-01	7.452167e-02	1.100301e-01	3.395158e-01	1.847352e-02	6.045874e-02	3.775928e-01	9.392907e-02	1.222995e-01	3.215881e-01	4.587764e-02	9.702230e-02	3.402741e-01	7.293829e-02	2.401260e-01	2.164541e-01	2.640610e-01	2.793588e-01	3.041515e-01	2.112446e-01	2.127731e-01	2.718308e-01	2.398287e-01	2.096026e-01	2.136114e-01	3.369572e-01	4.441474e-01	1.135085e+00	7.522392e-01	5.252590e-01	5.070203e-01	4.768006e-01	6.059221e-01	1.143493e+00	1.346007e+00
9000	-4.402240e+04	9.885619e+01	4.047871e+00	7.605460e-02	2.428028e-01	1.537452e-01	3.866006e-02	4.136757e-01	7.506167e-02	1.120553e-01	3.411336e-01	1.986423e-02	5.745018e-02	3.775928e-01	9.190386e-02	1.413989e-01	3.044367e-01	5.424707e-02	8.976461e-02	3.319047e-01	7.824795e-02	2.401260e-01	2.094259e-01	2.710893e-01	2.793588e-01	3.014441e-01	2.127082e-01	2.114208e-01	2.744269e-01	2.395716e-01	2.098597e-01	2.136114e-01	3.369572e-01	4.474722e-01	9.003559e-01	7.770127e-01	4.902208e-01	4.836721e-01	4.830238e-01	6.250594e-01	1.094439e+00	1.373333e+00
10000	-4.391805e+04	8.716821e+01	4.402444e+00	8.933390e-02	2.131717e-01	9.036577e-02	5.377143e-02	4.758704e-01	7.748680e-02	1.109880e-01	3.276509e-01	2.411402e-02	7.177269e-02	3.861087e-01	7.936572e-02	1.161676e-01	2.989052e-01	3.102259e-02	1.033657e-01	3.509172e-01	9.962170e-02	2.708543e-01	1.889296e-01	2.634328e-01	2.767833e-01	2.979135e-01	1.944613e-01	2.217998e-01	2.858253e-01	2.816446e-01	1.985440e-01	1.944573e-01	3.253542e-01	3.875489e-01	7.855958e-01	6.806695e-01	5.146598e-01	4.286258e-01	4.647861e-01	6.460392e-01	1.086104e+00	1.355641e+00
11000	-4.384330e+04	1.014079e+02	3.978802e+00	8.131246e-02	2.266703e-01	1.228037e-01	6.680185e-02	4.286106e-01	7.380113e-02	1.178595e-01	3.425285e-01	2.100122e-02	6.194711e-02	3.720631e-01	8.460062e-02	1.163603e-01	2.987125e-01	3.755890e-02	9.291239e-02	3.538166e-01	1.006393e-01	2.541822e-01	1.851393e-01	2.624001e-01	2.982784e-01	3.024690e-01	2.091570e-01	2.142303e-01	2.741437e-01	2.794359e-01	2.126775e-01	2.029422e-01	3.049444e-01	4.733556e-01	8.320538e-01	7.184694e-01	5.724770e-01	4.485371e-01	4.671483e-01	5.693363e-01	1.138774e+00	1.397047e+00
12000	-4.375284e+04	9.758025e+01	4.082539e+00	7.475403e-02	2.339236e-01	1.156647e-01	5.187724e-02	4.560168e-01	6.776360e-02	1.140117e-01	3.093083e-01	2.251260e-02	7.339664e-02	3.933039e-01	8.746686e-02	1.189340e-01	3.352023e-01	4.082803e-02	9.537135e-02	3.211083e-01	8.855603e-02	2.430990e-01	2.055885e-01	2.722576e-01	2.790549e-01	3.025461e-01	2.044605e-01	2.148513e-01	2.781421e-01	2.587654e-01	2.175780e-01	2.005486e-01	3.231080e-01	4.372822e-01	1.027600e+00	7.214368e-01	4.767163e-01	5.026111e-01	4.602931e-01	6.738718e-01	1.042223e+00	1.366589e+00
