[ID: 0038710624]
Gen	LnL	LnPr	TL{all}	r(A<->C){1}	r(A<->G){1}	r(A<->T){1}	r(C<->G){1}	r(C<->T){1}	r(G<->T){1}	r(A<->C){2}	r(A<->G){2}	r(A<->T){2}	r(C<->G){2}	r(C<->T){2}	r(G<->T){2}	r(A<->C){3}	r(A<->G){3}	r(A<->T){3}	r(C<->G){3}	r(C<->T){3}	r(G<->T){3}	pi(A){1}	pi(C){1}	pi(G){1}	pi(T){1}	pi(A){2}	pi(C){2}	pi(G){2}	pi(T){2}	pi(A){3}	pi(C){3}	pi(G){3}	pi(T){3}	alpha{1}	alpha{2}	alpha{3}	pinvar{1}	pinvar{2}	pinvar{3}	m{1}	m{2}	m{3}
0	-6.466336e+04	1.474263e+02	2.860000e+00	1.666667e-01	1.666667e-01	1.666667e-01	1.666667e-01	1.666667e-01	1.666667e-01	1.666667e-01	1.666667e-01	1.666667e-01	1.666667e-01	1.666667e-01	1.666667e-01	1.666667e-01	1.666667e-01	1.666667e-01	1.666667e-01	1.666667e-01	1.666667e-01	2.500000e-01	2.500000e-01	2.500000e-01	2.500000e-01	2.500000e-01	2.500000e-01	2.500000e-01	2.500000e-01	2.500000e-01	2.500000e-01	2.500000e-01	2.500000e-01	1.000000e+00	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
1000	-5.210285e+04	9.014210e+01	4.338314e+00	1.586126e-01	2.001294e-01	1.755800e-01	1.457469e-01	1.713576e-01	1.485734e-01	1.994294e-01	2.017937e-01	1.396589e-01	1.022636e-01	2.425023e-01	1.143521e-01	1.841296e-01	1.780287e-01	1.112426e-01	1.641883e-01	2.413029e-01	1.211079e-01	2.361741e-01	2.310334e-01	2.207740e-01	3.120184e-01	2.385053e-01	2.354473e-01	2.893502e-01	2.366972e-01	2.252463e-01	2.176251e-01	2.563983e-01	3.007302e-01	2.491320e-01	3.947321e-01	3.261884e-01	1.428341e-01	2.617360e-01	7.428862e-02	9.151250e-01	8.756991e-01	1.237261e+00
2000	-4.834298e+04	9.916496e+01	4.063288e+00	1.315601e-01	2.602189e-01	1.530534e-01	1.398592e-01	1.637756e-01	1.515329e-01	1.899631e-01	2.509619e-01	1.250314e-01	9.189094e-02	2.637618e-01	7.839081e-02	1.622715e-01	2.197348e-01	8.411591e-02	1.383884e-01	2.912337e-01	1.042556e-01	2.074711e-01	2.691563e-01	2.089427e-01	3.144300e-01	2.229306e-01	2.355546e-01	2.893502e-01	2.521646e-01	2.471871e-01	2.078539e-01	2.170993e-01	3.278597e-01	2.495309e-01	6.686501e-01	3.565456e-01	1.953704e-01	4.808708e-01	2.325567e-01	8.441921e-01	8.953679e-01	1.306000e+00
3000	-4.642723e+04	9.409941e+01	4.205630e+00	1.070805e-01	2.398306e-01	1.193889e-01	1.526761e-01	2.434945e-01	1.375295e-01	1.424567e-01	3.442312e-01	8.161418e-02	3.507977e-02	3.247593e-01	7.185882e-02	1.761170e-01	2.533684e-01	7.300978e-02	9.596328e-02	3.299658e-01	7.157576e-02	2.285461e-01	2.311642e-01	2.079069e-01	3.323828e-01	2.478240e-01	2.238303e-01	2.462075e-01	2.821382e-01	2.388061e-01	1.994260e-01	2.177299e-01	3.440380e-01	2.495309e-01	7.362996e-01	4.509115e-01	2.834609e-01	4.660723e-01	3.408819e-01	7.986060e-01	9.543228e-01	1.301613e+00
4000	-4.565057e+04	1.108299e+02	3.735000e+00	5.052259e-02	2.668886e-01	1.312036e-01	1.198996e-01	3.163584e-01	1.151272e-01	1.097806e-01	3.338576e-01	4.774662e-02	3.445135e-02	3.837116e-01	9.045217e-02	1.597261e-01	2.743141e-01	3.883178e-02	7.351236e-02	3.688631e-01	8.475251e-02	2.324731e-01	2.138215e-01	2.224259e-01	3.312795e-01	2.676713e-01	2.358784e-01	2.481012e-01	2.483491e-01	2.385945e-01	1.938872e-01	2.393580e-01	3.281603e-01	3.391953e-01	6.485753e-01	6.176204e-01	4.013275e-01	4.671696e-01	4.485821e-01	7.484417e-01	1.049662e+00	1.264845e+00
5000	-4.488746e+04	1.128196e+02	3.676432e+00	5.982493e-02	2.863992e-01	1.312036e-01	1.198996e-01	3.163584e-01	8.631419e-02	1.206793e-01	3.268958e-01	1.456397e-02	4.670545e-02	4.177628e-01	7.339267e-02	1.369642e-01	2.741650e-01	3.604069e-02	8.274969e-02	3.842930e-01	8.578749e-02	2.554792e-01	2.465621e-01	2.138957e-01	2.840630e-01	2.820077e-01	1.889520e-01	2.637935e-01	2.652468e-01	2.526539e-01	2.012771e-01	2.227903e-01	3.232788e-01	4.025077e-01	7.520973e-01	7.112552e-01	5.120746e-01	4.727917e-01	4.605773e-01	7.187059e-01	1.021566e+00	1.331766e+00
6000	-4.435795e+04	1.106998e+02	3.725503e+00	5.718080e-02	2.865925e-01	1.132054e-01	1.035743e-01	3.504809e-01	8.896611e-02	1.165687e-01	3.441946e-01	1.578131e-02	5.012104e-02	3.978738e-01	7.546051e-02	1.293117e-01	2.741650e-01	3.604069e-02	9.249608e-02	3.842930e-01	8.369360e-02	2.402385e-01	2.199525e-01	2.280596e-01	3.117495e-01	2.793288e-01	2.045051e-01	2.251218e-01	2.910443e-01	2.628172e-01	1.999630e-01	2.312663e-01	3.059535e-01	4.069298e-01	1.009906e+00	6.811308e-01	5.193233e-01	4.898988e-01	4.605773e-01	6.428218e-01	1.164163e+00	1.277847e+00
7000	-4.409524e+04	1.009401e+02	3.988374e+00	8.176494e-02	2.695709e-01	1.398135e-01	5.299188e-02	3.542046e-01	1.016542e-01	1.158775e-01	3.290922e-01	2.042149e-02	5.887244e-02	3.987256e-01	7.701072e-02	1.141785e-01	2.892982e-01	3.731459e-02	9.249608e-02	3.842930e-01	8.241970e-02	2.384486e-01	2.405822e-01	2.267488e-01	2.942204e-01	2.987101e-01	1.820855e-01	2.250388e-01	2.941656e-01	2.628172e-01	1.999630e-01	2.312663e-01	3.059535e-01	3.945121e-01	9.686152e-01	7.863491e-01	4.889511e-01	4.686702e-01	5.133535e-01	6.933381e-01	1.098337e+00	1.283227e+00
8000	-4.392096e+04	9.725503e+01	4.096098e+00	7.193038e-02	2.546413e-01	1.330292e-01	5.398826e-02	4.143984e-01	7.201243e-02	1.192051e-01	3.427018e-01	2.303145e-02	6.065983e-02	3.685237e-01	8.587804e-02	1.188768e-01	2.849342e-01	4.341401e-02	9.676120e-02	3.799263e-01	7.608752e-02	2.567398e-01	2.051443e-01	2.595296e-01	2.785862e-01	2.988413e-01	2.079426e-01	2.154376e-01	2.777785e-01	2.628172e-01	1.999630e-01	2.312663e-01	3.059535e-01	3.866365e-01	9.695445e-01	6.831723e-01	4.943992e-01	4.867341e-01	4.744251e-01	6.437696e-01	1.079646e+00	1.365273e+00
9000	-4.385413e+04	9.592770e+01	4.138772e+00	8.126964e-02	2.258721e-01	1.135885e-01	6.348570e-02	4.342215e-01	8.156253e-02	1.192051e-01	3.427018e-01	2.358347e-02	6.065983e-02	3.685237e-01	8.532601e-02	1.172133e-01	2.849342e-01	4.704238e-02	8.876765e-02	3.799263e-01	8.211623e-02	2.567398e-01	2.051443e-01	2.412379e-01	2.968779e-01	2.956435e-01	2.139609e-01	2.152919e-01	2.751038e-01	2.628172e-01	1.999630e-01	2.312663e-01	3.059535e-01	4.094345e-01	7.489106e-01	7.323590e-01	4.741377e-01	4.262634e-01	4.822516e-01	5.744084e-01	1.093351e+00	1.438285e+00
